forecast_time,temperature_c,precipitation_probability,country_name,country_code,capital,ip_address,ip_country,ip_region,ip_city,ip_latitude,ip_longitude
2026-08-03 00:00:00,25.3,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 01:00:00,24.9,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 02:00:00,24.5,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 03:00:00,24.2,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 04:00:00,24.0,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 05:00:00,23.7,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 06:00:00,23.6,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 07:00:00,24.2,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 08:00:00,24.5,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 09:00:00,25.3,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 10:00:00,28.1,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 11:00:00,30.8,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 12:00:00,32.8,0,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 13:00:00,34.0,2,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
2026-08-03 14:00:00,34.7,4,Korea (Republic of),KR,Seoul,8.8.8.8,United States,Virginia,Ashburn,39.03,-77.5
